Gene	SRR1813212	SRR1813213	SRR1813214	SRR1813215	SRR1813216	SRR1813217	SRR1813218	SRR1813219	SRR1813220
EBG00001435404	744.4866	627.8769	537.3501	681.2619	602.0234	703.21313	615.00635	609.20355	602.77765
EBG00001435405	32963.9	25110.984	25772.89	30282.352	27685.65	31455.566	34202.145	32630.762	29014.094
EBG00001435406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435407	34.08249	20.689726	18.052011	25.894016	7.652675	24.135794	15.664608	14.911808	17.37351
EBG00001435408	312.592	235.28517	239.57703	222.36258	172.01302	179.8846	191.35431	188.09901	163.75519
EBG00001435409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435410	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435411	113.98248	75.64674	106.91742	90.81924	65.47241	84.72921	83.12463	69.36715	75.92437
EBG00001435412	1.6358782	1.4870017	0.0	1.626679	1.4693091	0.0	0.0	0.0	0.0
EBG00001435413	323.34903	215.65169	154.42209	144.12122	116.72797	144.06178	128.03636	145.10835	139.30672
EBG00001435414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435415	0.0	0.0072947815	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435416	403.66565	328.83047	302.73727	305.29013	259.41675	299.9462	201.92586	223.58018	205.07538
EBG00001435417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435418	0.0	0.0	0.0	0.0	0.0	0.0	153.5955	87.53847	83.16365
EBG00001435419	109.44435	107.548485	95.26579	89.863815	86.76996	106.605774	74.9664	66.365135	73.593544
EBG00001435420	62.885418	46.62371	65.10771	60.995583	40.651443	62.0574	49.26487	34.891247	23.13324
EBG00001435421	4.5659804	0.0	0.0	5.363381	5.3620944	9.511556	0.0	0.0	9.682349
EBG00001435422	2193.6157	1613.7904	1277.8179	699.055	5547.911	2581.059	647.3831	2367.8904	1547.6307
EBG00001435423	438.70782	462.92163	384.3641	378.0915	322.9529	375.79166	283.7829	269.91492	268.54037
EBG00001435424	6.554349	3.5192227	6.4616213	3.5215795	4.5266585	6.532122	6.444575	2.4880824	4.932385
EBG00001435425	37.30937	37.70596	38.27268	27.166468	29.171799	29.645784	26.274036	36.326	34.033455
EBG00001435426	693.66235	491.28452	269.28775	155.0887	1580.4209	799.802	155.91914	180.1135	156.00456
EBG00001435427	2129.407	1842.5415	1399.408	1717.3905	1317.051	1624.7278	1335.2239	1290.2314	1119.5431
EBG00001435428	33.275925	28.153782	33.799248	25.154137	29.171799	31.153198	42.633343	33.837917	38.472603
EBG00001435430	62.12838	54.555122	46.85081	48.044483	41.524048	48.39554	25.787138	25.98263	41.646626
EBG00001435431	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435432	0.0	0.0	0.0	0.007279859	0.0	0.0	0.0	0.0	0.0
EBG00001435433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435435	240.54996	206.38268	176.59357	195.9675	184.54736	200.72292	176.52583	204.33101	203.16806
EBG00001435436	13.108697	11.563161	6.958669	8.552407	9.053317	18.591425	10.410467	9.952329	13.810678
EBG00001435437	7.56271	7.5411916	5.9645734	11.570903	6.5385065	10.551889	3.470156	10.449945	8.878293
EBG00001435438	1359.271	1256.8652	942.3001	1030.266	790.60376	1019.01105	901.1358	841.96704	716.0428
EBG00001435439	349.4426	207.19801	344.22092	198.95525	276.70114	167.63382	226.9863	225.99995	221.47716
EBG00001435440	40.334454	28.656528	31.314009	29.681883	26.656988	23.616135	28.75272	36.326	25.648401
EBG00001435441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435442	71.59365	95.52176	75.55126	68.41925	70.41469	70.34593	62.462807	58.718742	58.202145
EBG00001435443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435444	585.8579	425.3232	380.7386	570.49585	539.1753	520.5599	422.36755	418.99304	505.07623
EBG00001435445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435446	0.0	0.0	0.0	1.0661099	0.0	0.0	0.0	0.0	0.0
EBG00001435448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004313345
EBG00001435450	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435451	230.92424	224.32974	122.20117	218.51562	147.76791	205.99403	176.72067	141.32768	132.02838
EBG00001435452	137.13713	99.54373	94.43908	122.75219	131.77606	111.548546	102.12173	104.49946	129.22849
EBG00001435453	77.66366	67.947525	46.828407	73.388535	49.854965	47.41646	52.634304	53.825375	46.302567
EBG00001435454	49.907677	47.75961	45.179855	53.09651	58.87695	57.49634	53.093098	56.641808	49.099728
EBG00001435455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435457	6477.713	7393.3843	6659.446	5601.323	4768.08	5602.551	7248.6597	4727.3564	4458.876
EBG00001435459	202.44774	193.94205	167.3963	210.36693	194.84584	205.04526	81.38497	88.279015	75.20972
EBG00001435461	2039.9149	1782.7377	1583.5942	1538.427	1408.2937	1470.23	1103.5095	1120.6322	926.3019
EBG00001435462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435463	1813.5378	1425.2852	1409.6274	1418.6934	1217.6711	1341.5974	1628.9902	1644.1248	1699.6998
EBG00001435465	456.78766	368.01016	409.56735	413.03094	349.05566	406.499	704.44165	803.15295	736.8983
EBG00001435467	675.5212	461.7282	427.303	424.72272	361.26004	454.43982	327.89294	299.96793	221.26965
EBG00001435468	0.0	2.7806394	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435469	501.0126	698.54175	503.43167	554.3282	633.6095	542.33966	379.00778	377.1952	371.35867
EBG00001435470	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435481	15.12542	7.0384455	8.94686	3.0184963	7.0414686	8.0395355	1.9829463	9.952329	9.86477
EBG00001435482	173.94197	162.30621	135.78653	112.540535	125.69505	158.35422	150.83163	141.24458	144.41238
EBG00001435483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435486	157.55893	180.26527	96.65973	114.04296	133.88605	146.36632	116.36083	120.192825	111.79056
EBG00001435487	407.88214	264.44446	266.91464	278.20477	278.64096	283.8961	238.94502	251.29631	246.126
EBG00001435488	646.41907	648.0433	564.03204	532.27594	446.23737	528.2863	580.8038	549.76965	511.8913
EBG00001435489	149.23747	118.64808	118.29737	105.64738	117.693115	139.68692	108.070564	97.53282	106.53951
EBG00001435490	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435491	373.0937	323.26575	279.8379	354.67334	289.70615	338.6654	290.99734	289.11517	332.93597
EBG00001435492	747.5848	757.1925	671.24884	667.65283	640.4739	562.29755	638.57263	553.81335	413.3329
EBG00001435494	15.105578	30.590715	21.764183	29.240345	18.547873	18.909706	11.811447	17.831396	16.831963
EBG00001435495	824.1897	608.2158	516.7209	611.60547	524.10455	604.9632	451.01456	404.58737	423.85162
EBG00001435499	425798.66	308401.7	363689.34	333533.2	303248.5	299797.5	377818.12	400716.12	409096.47
EBG00001435500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435502	236.9649	214.16985	168.00215	187.14677	136.80568	172.85	174.49927	147.29446	146.98508
EBG00001435503	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435505	0.0	0.0	0.0	6.2479186	0.0	4.6338134	2.5002425	0.0	0.0
EBG00001435506	762.32117	528.8337	424.50485	609.76245	419.4814	621.0822	423.38403	438.92203	396.5851
EBG00001435508	1909.783	1697.0327	1477.9233	1231.9917	1164.776	1296.2225	1281.7303	1191.8893	1174.9583
EBG00001435509	273.60086	217.71545	163.68848	76.22903	75.403534	70.995766	116.8575	96.733246	107.31254
EBG00001435512	996.6504	1074.6206	751.0949	888.04785	844.01434	997.7206	829.7453	835.1385	992.75824
EBG00001435513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435515	274.20557	198.08504	186.71683	174.43634	146.56105	202.10689	151.56912	174.4869	178.04198
EBG00001435518	14933.891	18012.576	15038.807	18761.133	15050.891	12635.294	6711.9893	5428.4727	21202.602
EBG00001435519	83.693985	53.29109	71.41721	58.357597	81.47985	72.35581	437.23962	419.98828	580.53143
EBG00001435521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435522	88.283844	63.526203	57.087254	55.24708	36.729042	46.62833	55.4315	32.325375	34.384964
EBG00001435523	533.2409	410.34622	388.79465	386.59222	346.55115	427.66415	310.0673	267.53287	283.8696
EBG00001435526	550.1405	409.8671	357.33325	415.36642	312.32507	379.0599	360.33496	343.5256	311.7039
EBG00001435527	355.70355	347.9204	293.5685	319.65936	267.63132	292.96896	356.8827	411.89725	382.48465
EBG00001435528	2339.733	2634.3984	2216.4797	2891.8423	2682.177	2451.2598	2422.2603	2552.9026	2231.0632
EBG00001435530	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435531	1.2542852	0.0	0.0	1.0061654	4.0236964	1.004942	1.9829463	0.0	0.98647696
EBG00001435533	1930.0035	1802.8475	1366.8813	1405.6132	1463.6195	1764.6779	1193.7336	1139.5416	885.8563
PA0001	5934.4814	5528.162	5208.6167	6120.6816	5666.6216	5978.369	5514.3774	5485.7476	5572.311
PA0002	5156.8525	5047.63	4518.4756	5315.608	4735.596	4800.3477	4768.0557	4766.0376	4928.5728
PA0003	2745.3303	2259.9985	2263.3179	2350.3777	2174.2388	2399.8552	2367.3801	2223.6416	2143.8474
PA0004	5755.605	4967.1045	5014.248	5441.034	4832.3965	4916.205	5217.0317	5475.251	5709.681
PA0005	826.02203	740.86615	749.99927	853.0364	671.1321	714.1841	582.6304	571.0445	515.7208
PA0006	878.9137	750.3251	777.5818	706.8437	619.09796	663.4077	728.90985	660.1157	580.2649
PA0007	3331.9417	2747.528	2905.6245	2957.5088	2877.2124	2955.3809	3059.189	3414.0476	3737.156
PA0008	3293.2893	2821.4248	2943.1584	3317.8042	3003.3882	3309.126	2813.6147	2893.5442	3038.8206
PA0009	1960.7781	1644.019	1575.3811	1798.277	1401.336	1599.2645	1358.3809	1205.9335	1185.1646
PA0010	337.73755	313.85776	287.07486	313.12555	274.05127	248.00331	253.36319	221.41673	206.42453
PA0011	1589.2864	1133.7853	1227.5002	1271.6542	1138.0206	1098.7517	1072.1089	1046.5312	992.70874
PA0012	417.46158	320.752	306.18143	398.44153	359.1149	375.84827	267.69772	275.6795	266.3488
PA0013	224.89986	216.48448	201.0212	282.02835	245.11299	226.80229	194.04749	200.22852	192.50941
PA0014	96.80268	103.5657	98.41546	145.894	132.78198	138.68198	90.22405	91.56143	82.86407
PA0015	320.6589	243.32912	342.96295	355.17642	343.0201	328.616	341.06674	358.28384	357.10468
PA0016	1700.0522	1422.0988	1457.4993	1806.2196	1520.1816	1595.6154	1550.3784	1421.1892	1476.065
PA0017	1079.1042	957.2576	956.8464	1031.889	901.6771	1026.5033	895.2561	888.01746	970.65485
PA0018	784.1199	645.17773	613.4336	550.32	540.0081	597.2383	617.5855	564.86566	623.1032
PA0019	2392.8413	1999.9241	2033.9194	2016.3557	1680.486	1816.9349	1963.1167	2025.9202	1986.3749
PA0020	1581.5629	1371.4098	1265.0116	1347.8005	1127.5142	1163.96	1365.4161	1329.3853	1286.3904
PA0021	132.92024	111.878204	109.46284	158.23741	123.780235	123.87972	129.64865	128.10675	129.1484
PA0022	642.0577	519.1866	533.24866	561.3144	474.97394	510.88214	455.6934	484.9351	492.84076
PA0023	1158.9202	908.5018	854.2616	1038.8821	906.43225	863.4623	861.842	899.71783	930.0254
PA0024	771.0797	653.7945	701.0096	874.92975	736.59546	814.48413	792.375	705.60803	748.88885
PA0025	421.43958	346.07706	393.14093	433.5273	402.56168	365.69043	491.69153	447.63577	463.61395
PA0026	1420.416	1357.9408	1316.8438	1708.8088	1576.7119	1592.502	1110.7814	1103.7089	1074.915
PA0027	1179.8302	1121.8024	1040.0524	1155.3376	994.7237	994.35175	906.46906	957.2854	1015.5867
