Gene	SRR4289769	SRR4289770	SRR4289771	SRR4289772	SRR4289773	SRR4289774	SRR4289775	SRR4289776	SRR4289777	SRR4289778	SRR4289779	SRR4289780
EBG00001435404	192.33424	124.03448	237.13351	93.68252	129.6634	227.9372	304.54752	415.43292	340.62366	252.40407	332.4602	446.801
EBG00001435405	6.87088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435406	21421.023	7985.663	32433.268	14548.771	9486.313	27602.473	45081.938	21565.496	68725.24	25635.062	32296.928	24895.715
EBG00001435407	20.485079	13.75217	59.76663	17.22923	22.118345	46.481976	42.499386	37.32131	29.851038	33.563297	44.92017	58.119633
EBG00001435408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435410	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435411	4.107264	16.187191	13.143941	12.442033	6.198923	11.172013	7.2611613	7.398505	6.324814	4.635752	6.604894	3.7821882
EBG00001435412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435413	11350.337	9280.74	19131.225	11136.974	9402.778	17044.02	906.2554	891.83624	610.9183	501.62662	950.89	591.10077
EBG00001435414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435415	0.0	0.0	0.0	0.0	0.0	57.80031	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435416	71.502075	72.40779	148.26901	32.660896	56.85531	111.93346	118.33424	126.42942	165.3435	97.80546	141.05194	113.835045
EBG00001435417	1758.3977	1366.134	35.860676	728.1391	1163.8547	159.3132	1196.4116	945.5136	327.65552	559.1936	296.0926	564.041
EBG00001435418	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435420	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435421	6.0567417	5.4340954	21.867176	0.0	7.1614466	4.3310995	0.0	2.946746	4.870071	6.0159755	4.012906	5.0342097
EBG00001435422	79.503235	15.360015	121.101814	50.310978	39.130405	137.63686	168.0557	40.423435	375.59885	147.7675	129.67616	121.052444
EBG00001435423	79.78521	111.28717	212.49298	70.33096	67.31943	136.5355	126.71154	124.41683	171.76517	89.661385	132.68091	146.75995
EBG00001435424	3.6175234	3.0269969	7.4219456	2.2806363	1.027041	1.8734148	6.344298	4.1275554	2.897284	3.9702466	5.183814	4.8708467
EBG00001435425	20.756342	12.664211	28.38507	13.119618	11.859409	22.338036	10.086335	6.240877	8.850689	7.2588053	6.4297967	9.386429
EBG00001435426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435427	760.9082	536.82294	1070.8295	563.18646	728.5627	910.7649	279.10202	174.95921	226.9567	248.98344	295.2065	240.92578
EBG00001435428	13.516496	8.120038	11.277502	12.618161	7.23208	8.480546	7.293785	4.561266	8.74359	7.3221116	3.6809433	4.4544
EBG00001435430	39.85068	35.249744	92.90736	28.62731	40.573948	63.108612	32.2573	28.498503	34.001823	30.20684	24.557846	29.962248
EBG00001435431	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435432	0.0	0.0	0.0	0.0	0.0	7.921429	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435433	9864.635	3104.1946	15560.416	6904.324	4819.9023	13653.262	8355.253	6409.4043	18694.805	6301.565	7754.0483	6862.8726
EBG00001435435	35.502117	28.81992	59.629997	23.375744	24.2147	61.947697	52.698364	46.67177	61.881397	34.770782	37.74112	34.0492
EBG00001435436	100.38796	92.41512	194.22363	118.21543	126.629684	145.18962	36.48854	43.431923	29.744198	23.19123	38.056973	33.87165
EBG00001435437	8.390917	4.5994625	5.678182	6.3532	10.403791	5.693234	4.590494	1.7543328	3.2284026	3.351507	3.706684	1.7942197
EBG00001435438	293.26007	250.50035	403.00537	166.53085	202.4838	324.40137	408.843	315.0615	420.85977	333.39114	391.87888	393.1734
EBG00001435439	222.4968	179.6985	365.26938	192.48094	203.75426	242.5515	1131.8962	1094.0929	1179.5709	1253.2021	1200.613	1132.049
EBG00001435440	92.32036	66.83416	125.01348	58.940956	69.575356	104.34964	72.46463	69.610466	42.74389	58.108303	80.485954	67.10465
EBG00001435441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435442	299.07443	209.04012	92.07908	251.98277	337.45032	307.34357	25.32114	9.610963	18.637163	83.880775	21.027819	73.861206
EBG00001435443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435444	375.4624	285.26733	614.0458	246.74219	291.0904	363.92563	438.2001	383.43286	388.03006	404.65286	427.25714	437.49063
EBG00001435445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.10907	0.0	0.0
EBG00001435446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435449	17.185074	13.829196	70.063995	41.54476	31.991282	24.771206	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435450	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435452	161.83524	93.91988	251.79553	117.069885	133.0077	154.56555	157.59491	142.01279	110.95642	154.405	184.69322	163.07683
EBG00001435453	58.474457	40.774204	79.367645	42.62482	49.803955	47.915417	29.244694	40.29118	20.415977	31.39922	28.64958	36.980865
EBG00001435454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435455	0.0	6.942854	69.798935	23.214817	6.531601	0.0	42.461723	5.3715405	62.097027	4.2968545	30.485771	5.895447
EBG00001435456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435457	34015.848	24786.883	40532.844	17060.785	21369.826	38086.88	3292.0012	5203.3965	1192.5024	4221.4365	4562.274	7046.0815
EBG00001435459	27.87641	23.181858	23.075981	10.251755	15.860684	23.756227	90.67434	100.02621	114.42311	73.11306	86.241104	103.86043
EBG00001435461	8287.476	6195.423	26657.39	7415.153	6291.644	11276.139	11855.809	14577.892	6600.716	7195.255	13929.543	15142.308
EBG00001435462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435463	368.55692	210.25305	525.35406	277.79495	318.24805	395.63165	212.62927	193.29417	179.67517	304.3313	226.052	232.69867
EBG00001435465	387.68878	317.49246	747.2553	230.10056	212.88039	198.83568	169.08032	129.46457	136.31555	126.91104	130.36888	136.1151
EBG00001435467	0.0	0.0	10.721887	5.823643	0.0	0.0	0.0	5.1140094	0.0	0.0	7.3522124	0.0
EBG00001435468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435469	178.40828	149.85191	391.1203	137.88155	154.86871	215.04858	154.41327	145.64008	264.1344	187.33284	117.67564	174.46675
EBG00001435470	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435478	978.631	1052.7285	1159.4847	635.32806	511.0129	704.13684	391151.28	846464.7	3967.9084	1666.125	777180.75	779954.5
EBG00001435481	2.0805798	1.015551	6.7910357	2.2954454	1.03371	1.8855798	1.824427	0.75533795	1.749659	0.61843276	1.2276409	1.7827182
EBG00001435482	275.1711	245.01979	402.24576	168.45468	247.45752	394.2822	148.55487	121.4604	118.01328	118.70432	139.17703	141.29398
EBG00001435483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBG00001435486	52.28081	40.247482	84.56892	36.30992	35.538284	45.395546	90.09668	63.64313	94.69505	77.14703	74.77801	67.41375
